Sensor,s_0
0,-8535.022733064197
1,-8511.833185953032
2,-8552.536846590365
3,-8519.397978630404
4,-8562.751261785621
5,-8511.637687228449
6,-8507.570733562969
7,-8551.3620188934
8,-8516.030127258828
9,-8560.82747754558
10,-8482.539880182807
11,-8466.996864729783
12,-8517.794056123068
13,-8570.31197608063
14,-8539.771246729237
15,-8596.326884568305
16,-8653.561810202164
17,-8632.059277691858
18,-8689.694375375218
19,-8735.03862562246
20,-8767.277855728506
21,-8768.454046942552
22,-8789.01773811468
23,-8814.62325521872
24,-8807.044234025789
25,-8850.563470471861
26,-8852.201061557758
27,-8903.669916977942
28,-8873.312023584775
29,-8776.94046339527
30,-8766.295961296168
31,-8767.08206345867
32,-8781.873244213282
33,-8759.715518987956
34,-8756.866409660153
35,-8800.627477501352
36,-8818.854998734223
37,-8787.866307228789
38,-8732.325227358164
39,-8678.010948163352
40,-8709.452738700316
41,-8626.759673964525
42,-8650.64527732088
43,-8695.098094991623
44,-8745.526817489867
45,-8680.42398840323
46,-8705.236700695346
47,-8737.132368309613
48,-8714.715197923302
49,-8703.335408312018
50,-8666.879574836705
51,-8622.705725791253
52,-8646.533032005202
53,-8673.209327083303
54,-8662.52008260148
55,-8760.670294056667
56,-8811.112842900653
57,-8828.060356865635
58,-8800.401232639962
59,-8796.437601738333
60,-8790.596142807466
61,-8729.983809454045
62,-8738.729522292435
63,-8707.173788499638
64,-8686.683630452491
65,-8611.228799848212
66,-8654.752164304484
67,-8646.726944026028
68,-8658.895673617393
69,-8678.926670759853
70,-8649.401597995293
71,-8737.333504014801
72,-8757.401161648744
73,-8708.5181637167
74,-8681.818747301955
75,-8727.697166311254
76,-8635.312720606056
77,-8585.444835267976
78,-8646.865718032162
79,-8626.4808271828
80,-8616.397674448139
81,-8554.724812317218
82,-8566.849795287018
83,-8604.405294788485
84,-8577.940401434369
85,-8529.668436087155
86,-8508.28479794837
87,-8517.280896719427
88,-8545.63797885231
89,-8597.63475597548
90,-8605.593127257931
91,-8476.077376047378
92,-8537.066075445098
93,-8570.47129509024
94,-8729.689216381284
95,-8600.705009085901
96,-8602.819917883762
97,-8539.10206631482
98,-8579.631243206857
99,-8693.834541368667
100,-8710.786508791212
101,-8754.983973758164
102,-8781.345674900776
103,-8787.30979719866
104,-8749.51125553499
105,-8775.651039693616
106,-8777.063526971177
107,-8842.93146435788
108,-8857.930569534668
109,-8840.488475434486
110,-8775.757519625855
111,-8758.457683874618
112,-8723.175618707404
113,-8868.113847478078
114,-8942.866985862622
115,-8989.395581470813
116,-9010.142199847629
117,-9096.013704662526
118,-9031.30534956277
119,-9045.765184395517
120,-9118.624051603862
121,-9108.37456966801
122,-9079.66068106596
123,-8970.19040291856
124,-8947.067555339025
125,-8927.003440868491
126,-8882.713692677153
127,-8969.26141574897
128,-8999.053995744665
129,-8904.286049075026
130,-8928.32460657474
131,-8941.083430848043
132,-9009.788721614508
133,-9014.584491689171
134,-9069.36419718349
135,-9053.482696356998
136,-9036.203111240073
137,-9065.359711419062
138,-8995.286856512066
139,-8991.085550770953
140,-9022.137263592827
141,-8996.78587788312
142,-9023.51744213833
143,-9038.734215394616
144,-9072.652070446431
145,-9078.31697515481
146,-9148.687432008719
147,-9152.113583079203
148,-9189.418873849367
149,-9065.749204342868
150,-9201.134999150752
